,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
308,up,olly murs,dance pop,2015,115,85,69,-5,10,64,224,2,3,69
309,trumpets,jason derulo,dance pop,2015,82,70,63,-5,10,64,217,56,24,69
311,same old love,selena gomez,dance pop,2015,98,59,67,-4,21,44,229,2,3,69
312,i want you to know,zedd,complextro,2015,130,85,58,-3,14,37,240,1,6,68
313,lips are movin,meghan trainor,dance pop,2015,139,83,78,-5,11,95,183,5,5,68
314,i'll show you,justin bieber,canadian pop,2015,192,61,36,-7,18,8,200,5,10,68
316,i lived,onerepublic,dance pop,2015,120,85,59,-5,27,34,235,7,4,67
317,fireball (feat. john ryan),pitbull,dance pop,2015,123,94,69,-5,5,79,235,9,6,67
318,easy love,sigala,dance pop,2015,124,94,68,-4,12,65,230,18,6,67
319,the feeling,justin bieber,canadian pop,2015,127,81,53,-6,10,21,245,8,6,67
320,i really like you,carly rae jepsen,canadian pop,2015,122,81,62,-5,22,60,205,1,4,66
321,bo$$,fifth harmony,dance pop,2015,103,87,81,-5,5,74,171,1,11,66
322,sugar,maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,66
323,focus,ariana grande,dance pop,2015,100,88,67,-6,44,79,211,27,24,66
324,all about that bass,meghan trainor,dance pop,2015,134,88,81,-4,11,96,189,5,5,65
325,on my mind,ellie goulding,dance pop,2015,155,71,70,-7,9,74,213,26,5,65
326,love me like you,little mix,dance pop,2015,106,67,79,-4,28,85,198,21,4,65
327,broken arrows,avicii,big room,2015,116,67,63,-7,10,29,233,5,5,65
328,booty,jennifer lopez,dance pop,2015,129,95,71,-4,26,40,210,0,5,64
329,what do you mean? - acoustic,justin bieber,canadian pop,2015,125,36,77,-11,10,76,204,79,4,64
330,mark my words,justin bieber,canadian pop,2015,114,26,38,-9,17,52,134,88,3,63
331,lay it all on me,rudimental,dance pop,2015,123,75,67,-7,19,48,242,14,4,62
332,american oxygen,rihanna,barbadian pop,2015,78,75,39,-6,33,48,320,5,9,61
333,bang bang,jessie j,australian pop,2015,150,75,71,-4,38,73,199,27,9,61
334,reality - radio edit,lost frequencies,belgian edm,2015,122,70,71,-8,7,60,159,2,3,61
335,alive,sia,australian dance,2015,100,76,51,-4,11,44,264,25,5,61
336,sugar (feat. francesco yates),robin schulz,dance pop,2015,123,82,64,-5,16,64,219,2,6,60
337,been you,justin bieber,canadian pop,2015,113,78,74,-6,32,86,199,2,7,60
338,prayer in c - robin schulz radio edit,lilly wood and the prick,french indie pop,2015,123,89,76,-5,62,78,189,2,3,58
339,see you again (feat. charlie puth),wiz khalifa,hip hop,2015,80,48,69,-8,6,28,230,37,8,56
340,heroes (we could be),alesso,big room,2015,126,75,52,-4,24,35,210,4,6,56
341,"feel the light - from the ""home"" soundtrack",jennifer lopez,dance pop,2015,156,60,47,-6,9,4,292,33,5,55
342,perfect,one direction,boy band,2015,100,82,65,-5,12,40,230,6,8,55
343,ghosttown,madonna,dance pop,2015,79,55,54,-7,12,9,250,4,4,54
344,bang my head (feat. sia & fetty wap),david guetta,dance pop,2015,108,87,60,-4,10,59,193,5,8,54
345,bloodstream,ed sheeran,pop,2015,89,59,48,-6,6,27,309,20,5,52
346,living for love,madonna,dance pop,2015,123,79,67,-5,25,39,219,4,9,52
347,baby don't lie,gwen stefani,dance pop,2015,100,55,69,-5,10,26,203,1,3,52
348,don't be so hard on yourself,jess glynne,dance pop,2015,120,82,57,-3,16,66,211,6,3,52
349,steal my girl,one direction,boy band,2015,77,76,47,-6,14,52,227,0,4,51
350,"celebrate (from the original motion picture ""penguins of madagascar"")",pitbull,dance pop,2015,127,85,68,-3,6,93,193,1,6,50
351,we are here,alicia keys,hip pop,2015,93,67,64,-6,8,8,285,43,4,49
352,st jude,florence + the machine,art pop,2015,117,43,26,-11,11,9,225,75,3,47
353,yesterday (feat. bebe rexha),david guetta,dance pop,2015,128,78,57,-4,33,28,243,2,3,46
354,time of our lives,pitbull,dance pop,2015,124,80,72,-6,69,72,229,9,6,45
355,sparks,hilary duff,dance pop,2015,122,88,85,-5,10,79,186,4,6,44
356,mr. put it down,ricky martin,dance pop,2015,128,78,80,-6,4,83,196,1,18,42
357,legendary lovers,katy perry,dance pop,2015,126,84,62,-5,8,39,224,2,8,41
358,spark the fire,gwen stefani,dance pop,2015,120,80,88,-4,20,54,202,8,6,39
359,run run run,kelly clarkson,dance pop,2015,112,37,28,-7,11,8,273,45,4,36
360,let me be your lover,enrique iglesias,dance pop,2015,112,90,72,-4,6,88,238,1,13,34
361,dangerous,jennifer hudson,dance pop,2015,109,53,90,-5,8,65,255,0,5,18
362,l.a.love (la la),fergie,dance pop,2015,202,39,48,-8,26,27,193,2,9,0
363,the hills,the weeknd,canadian contemporary r&b,2016,113,56,58,-7,14,14,242,7,5,84
364,love yourself,justin bieber,canadian pop,2016,100,38,61,-10,28,52,234,84,44,83
365,cake by the ocean,dnce,dance pop,2016,119,75,77,-5,4,90,219,15,5,81
366,don't let me down,the chainsmokers,electropop,2016,160,87,53,-5,14,42,208,16,17,81
367,in the name of love,martin garrix,big room,2016,134,52,50,-6,45,17,196,11,4,81
368,into you,ariana grande,dance pop,2016,108,73,62,-6,14,37,244,2,11,80
369,this is what you came for,calvin harris,dance pop,2016,124,93,63,-3,15,47,222,20,3,80
370,million reasons,lady gaga,dance pop,2016,130,42,67,-8,11,15,205,49,4,80
